Post_ID,Week,Week_Theme,Day,Platform,Format,Pillar,Status,Title,Hook,Slide_Count,Caption_Opening,CTA,Hashtags,Substack_Companion,Fill_In_Required,Notes
P01-IG,Week 1,Establish Who You Are,Monday,Instagram,Carousel,Build in Public,Idea,The Introduction,"I'm a Global Head of Insights building AI systems by night. Here's why I'm starting over on Instagram.",5,"Most AI content is theory. I'm a Global Head of Insights who builds AI marketing systems in the real world — and I'm going to teach everything I know.",Follow + link in bio,"#AIMarketing #MarketingAutomation #AITools #DigitalMarketing #ContentStrategy #GrowthMarketing #AIBuilder #SingaporeMarketing",Issue #1,No,Pair with Threads text thread same day
P01-LI,Week 1,Establish Who You Are,Monday,LinkedIn,Text Post,Build in Public,Idea,The Introduction,"After years leading customer insights at a global level, I've started something new on the side.",,"After years leading customer insights at a global level, I've started something new on the side.",Follow + connect,"#AIMarketing #MarketingLeadership #AI #GrowthMarketing #MarketingAutomation",Issue #1,No,Cross-reference IG post in copy
P02-IG,Week 1,Establish Who You Are,Wednesday,Instagram,Carousel,Education,Idea,The Tool Stack,"5 AI tools I use every week as Head of Insights (and what I actually use them for)",7,"Not all AI tools are worth your time. These 5 are in my stack every single week — tested in a real marketing function.",Save this post,"#AITools #MarketingTools #AIMarketing #ProductivityTools #MarketingAutomation #AIStack",Issue #1,YES — fill in 5 real tools + time saved,High save potential. Chinese AI model = differentiator on Slide 6
P02-LI,Week 1,Establish Who You Are,Wednesday,LinkedIn,Text Post,Education,Idea,The Tool Stack,"The AI tools actually worth using in a marketing function. I've tested dozens. These 5 are in my weekly stack.",,"The AI tools actually worth using in a marketing function.",Comment your tool,"#AIMarketing #MarketingTools #AI #Productivity #MarketingLeadership",Issue #1,YES — fill in 5 real tools + time saved,Drives comments — good for LI reach
P03-IG,Week 1,Establish Who You Are,Friday,Instagram,Single Image,Education,Idea,The Contrarian Take,"Most businesses are using AI wrong.",,,"Most businesses are using AI wrong. They're automating tasks. They should be automating outcomes.",Save + share,"#AIMarketing #MarketingAutomation #AIStrategy #GrowthMarketing #MarketingLeadership #AIBuilder",None,No,Bold text on brand background. Drives saves and shares.
P03-LI,Week 1,Establish Who You Are,Friday,LinkedIn,Text Post,Education,Idea,The Contrarian Take,"Most businesses are using AI wrong. Here's the distinction nobody talks about.",,"Most businesses are using AI wrong. Here's the distinction nobody talks about.",Agree or disagree? Comment below,"#AIMarketing #AI #MarketingLeadership #GrowthMarketing #MarketingAutomation",None,No,Thought leadership angle. Drives comments.
P04-IG,Week 2,Prove You Can Do It,Monday,Instagram,Carousel,Growth Systems,Idea,The Before/After,"I turned a [X-day] process into [X hours] with one AI workflow.",6,"Before AI: [process] took [X days]. After: [X hours]. Same quality. Smaller team. Better output.",Save + link in bio for full breakdown,"#AIMarketing #MarketingAutomation #GrowthSystems #AIWorkflow #MarketingEfficiency #AIBuilder #BusinessGrowth",Issue #2,YES — most important post. Needs real before/after story.,"PRIORITY POST. Generates business enquiries. Fill in real workflow story before publishing."
P04-LI,Week 2,Prove You Can Do It,Monday,LinkedIn,Text Post,Growth Systems,Idea,The Before/After,"I cut [X days] of marketing work down to [X hours]. Here's exactly how.",,"I cut [X days] of marketing work down to [X hours]. Here's the before and after.",DM me if you want to see the full system,"#AIMarketing #MarketingAutomation #GrowthSystems #AI #BusinessGrowth",Issue #2,YES — needs real before/after story.,Best LI post for generating direct enquiries. Fill in real story.
P05-IG,Week 2,Prove You Can Do It,Wednesday,Instagram,Carousel,Education,Idea,The Myth Buster,"You don't need to code to build AI marketing systems.",5,"You don't need to code to build AI marketing systems. Here are 3 I've built with zero code.",Save this,"#AIMarketing #NoCode #MarketingAutomation #AITools #GrowthMarketing #AIBuilder #ContentStrategy",None,YES — needs 3 real no-code systems you've built.,Strong save post. Pick 3 systems from your real work.
P05-LI,Week 2,Prove You Can Do It,Wednesday,LinkedIn,Text Post,Education,Idea,The Myth Buster,"You don't need to code to build AI marketing systems. Here are 3 that are running in my workflow right now.",,"You don't need to code to build AI marketing systems.",What would you automate first? Comment below,"#AIMarketing #NoCode #MarketingAutomation #AI #MarketingLeadership",None,YES — needs 3 real no-code systems.,Good for comments and reshares from non-technical marketers.
P06-IG,Week 2,Prove You Can Do It,Friday,Instagram,Reel,Build in Public,Idea,Day in the Life,"A day using AI as Head of Insights — 6am to 10pm",,"Follow me for 1 day. 6am brief. 9am report. 2pm creative. 8pm building CozyRocketStudio.",Follow for more behind the scenes,"#DayInTheLife #AIMarketing #BuildInPublic #HeadOfInsights #CozyRocketStudio #AIBuilder",None,No — but needs to be filmed,25-30 seconds. Selfie-style. 4 scene cuts. Shows real dual life.
P06-LI,Week 2,Prove You Can Do It,Friday,LinkedIn,Text Post,Build in Public,Idea,Day in the Life,"What my day actually looks like when I use AI across a full marketing function.",,"What my day actually looks like when I use AI across a full marketing function.",Does your day look similar? Drop it below,"#AIMarketing #DayInTheLife #AI #MarketingLeadership #BuildInPublic",None,No,Written version of the Reel. Different angle for LI audience.
P07-IG,Week 3,Teach Something Real,Monday,Instagram,Carousel,Growth Systems,Idea,The Tutorial,"Build an AI content calendar in 30 minutes — the exact system I use.",7,"Build an AI content calendar in 30 minutes. I've done this for myself and my clients — here's the exact system.",Save and try it this week,"#AIMarketing #ContentStrategy #MarketingAutomation #AIWorkflow #ContentCalendar #AITools #GrowthMarketing",None,No — prompts already written,High save + share post. Prompts included on slides.
P07-LI,Week 3,Teach Something Real,Monday,LinkedIn,Document,Growth Systems,Idea,The Tutorial,"How to build an AI content calendar in 30 minutes.",,"How to build an AI content calendar in 30 minutes. Here's the step-by-step I use.",Save this for your team,"#AIMarketing #ContentStrategy #MarketingAutomation #AI #MarketingLeadership",None,No,Consider native document format for LI algorithm boost.
